701.00, 0.0061
700.00, 0.0031
699.00, 0.0015
698.00, -0.0015
697.00, -0.0015
696.00, 0.0000
695.00, 0.0000
694.00, -0.0015
693.00, -0.0031
692.00, -0.0031
691.00, -0.0015
690.00, 0.0000
689.00, 0.0000
688.00, 0.0000
687.00, -0.0015
686.00, -0.0031
685.00, -0.0031
684.00, -0.0015
683.00, 0.0000
682.00, 0.0000
681.00, 0.0000
680.00, 0.0000
679.00, 0.0000
678.00, 0.0000
677.00, 0.0000
676.00, 0.0000
675.00, 0.0000
674.00, -0.0015
673.00, -0.0015
672.00, -0.0015
671.00, -0.0015
670.00, 0.0000
669.00, 0.0000
668.00, 0.0000
667.00, 0.0000
666.00, 0.0000
665.00, 0.0000
664.00, 0.0000
663.00, 0.0000
662.00, 0.0000
661.00, 0.0000
660.00, 0.0000
659.00, -0.0015
658.00, -0.0031
657.00, -0.0015
656.00, 0.0000
655.00, 0.0000
654.00, 0.0000
653.00, 0.0000
652.00, 0.0000
651.00, 0.0000
650.00, 0.0000
649.00, 0.0000
648.00, 0.0000
647.00, 0.0000
646.00, 0.0000
645.00, 0.0000
644.00, 0.0000
643.00, 0.0000
642.00, 0.0000
641.00, 0.0000
640.00, 0.0000
639.00, 0.0000
638.00, 0.0000
637.00, 0.0000
636.00, 0.0000
635.00, -0.0015
634.00, -0.0031
633.00, -0.0015
632.00, 0.0000
631.00, 0.0000
630.00, 0.0000
629.00, 0.0000
628.00, 0.0000
627.00, 0.0000
626.00, 0.0000
625.00, 0.0000
624.00, 0.0000
623.00, 0.0000
622.00, 0.0000
621.00, 0.0000
620.00, 0.0000
619.00, 0.0000
618.00, 0.0000
617.00, 0.0000
616.00, 0.0000
615.00, 0.0000
614.00, 0.0000
613.00, 0.0000
612.00, 0.0000
611.00, 0.0000
610.00, 0.0000
609.00, 0.0000
608.00, 0.0000
607.00, 0.0000
606.00, 0.0000
605.00, 0.0000
604.00, -0.0015
603.00, -0.0015
602.00, 0.0000
601.00, 0.0000
600.00, 0.0000
599.00, 0.0000
598.00, 0.0000
597.00, -0.0015
596.00, -0.0015
595.00, 0.0000
594.00, 0.0000
593.00, 0.0000
592.00, 0.0000
591.00, 0.0000
590.00, -0.0015
589.00, -0.0015
588.00, 0.0000
587.00, 0.0000
586.00, 0.0000
585.00, 0.0000
584.00, 0.0000
583.00, 0.0000
582.00, 0.0000
581.00, 0.0000
580.00, 0.0000
579.00, 0.0000
578.00, 0.0000
577.00, 0.0000
